Date,Day,ObamaPolling,ObamaPeople,McCainPolling,McCainPeople,SusceptiblePolling,SusceptiblePeople
"June 4, 2008",0,0.467,61289275.21,0.445,58401986.01,0.088,11549156.78
"June 5, 2008",1,0.467,61289275.21,0.445,58401986.01,0.088,11549156.78
"June 6, 2008",2,0.469,61551756.04,0.441,57877024.34,0.09,11811637.62
"June 7, 2008",3,0.469,61551756.04,0.444,58270745.59,0.087,11417916.37
"June 8, 2008",4,0.469,61551756.04,0.444,58270745.59,0.087,11417916.37
"June 9, 2008",5,0.477,62601679.39,0.435,57089581.83,0.088,11549156.78
"June 10, 2008",6,0.47,61682996.46,0.427,56039658.49,0.103,13517763.05
"June 11, 2008",7,0.472,61945477.3,0.426,55908418.07,0.102,13386522.64
"June 12, 2008",8,0.468,61420515.62,0.425,55777177.65,0.107,14042724.73
"June 13, 2008",9,0.463,60764313.53,0.427,56039658.49,0.11,14436445.98
"June 14, 2008",10,0.462,60633073.12,0.423,55514696.81,0.115,15092648.07
"June 15, 2008",11,0.46,60370592.28,0.423,55514696.81,0.117,15355128.91
"June 16, 2008",12,0.459,60239351.86,0.421,55252215.98,0.12,15748850.16
"June 17, 2008",13,0.463,60764313.53,0.423,55514696.81,0.114,14961407.65
"June 18, 2008",14,0.47,61682996.46,0.428,56170898.9,0.102,13386522.64
"June 19, 2008",15,0.467,61289275.21,0.425,55777177.65,0.108,14173965.14
"June 20, 2008",16,0.475,62339198.55,0.42,55120975.56,0.105,13780243.89
"June 21, 2008",17,0.475,62339198.55,0.419,54989735.14,0.106,13911484.31
"June 22, 2008",18,0.482,63257881.48,0.414,54333533.05,0.104,13649003.47
"June 23, 2008",19,0.482,63257881.48,0.414,54333533.05,0.104,13649003.47
"June 24, 2008",20,0.483,63389121.89,0.408,53546090.54,0.109,14305205.56
"June 25, 2008",21,0.482,63257881.48,0.413,54202292.63,0.105,13780243.89
"June 26, 2008",22,0.471,61814236.88,0.404,53021128.87,0.125,16405052.25
"June 27, 2008",23,0.471,61814236.88,0.408,53546090.54,0.121,15880090.58
"June 28, 2008",24,0.471,61814236.88,0.406,53283609.71,0.123,16142571.41
"June 29, 2008",25,0.474,62207958.13,0.403,52889888.45,0.123,16142571.41
"June 30, 2008",26,0.477,62601679.39,0.409,53677330.96,0.114,14961407.65
"July 1, 2008",27,0.476,62470438.97,0.417,54727254.31,0.107,14042724.73
"July 2, 2008",28,0.474,62207958.13,0.42,55120975.56,0.106,13911484.31
"July 3, 2008",29,0.476,62470438.97,0.419,54989735.14,0.105,13780243.89
"July 4, 2008",30,0.476,62470438.97,0.419,54989735.14,0.105,13780243.89
"July 5, 2008",31,0.485,63651602.73,0.428,56170898.9,0.087,11417916.37
"July 6, 2008",32,0.487,63914083.57,0.427,56039658.49,0.086,11286675.95
"July 7, 2008",33,0.485,63651602.73,0.428,56170898.9,0.087,11417916.37
"July 8, 2008",34,0.483,63389121.89,0.428,56170898.9,0.089,11680397.2
"July 9, 2008",35,0.482,63257881.48,0.43,56433379.74,0.088,11549156.78
"July 10, 2008",36,0.481,63126641.06,0.426,55908418.07,0.093,12205358.87
"July 11, 2008",37,0.47,61682996.46,0.422,55383456.4,0.108,14173965.14
"July 12, 2008",38,0.468,61420515.62,0.426,55908418.07,0.106,13911484.31
"July 13, 2008",39,0.464,60895553.95,0.426,55908418.07,0.11,14436445.98
"July 14, 2008",40,0.466,61158034.79,0.426,55908418.07,0.108,14173965.14
"July 15, 2008",41,0.47,61682996.46,0.425,55777177.65,0.105,13780243.89
"July 16, 2008",42,0.471,61814236.88,0.423,55514696.81,0.106,13911484.31
"July 17, 2008",43,0.459,60239351.86,0.418,54858494.72,0.123,16142571.41
"July 18, 2008",44,0.459,60239351.86,0.418,54858494.72,0.123,16142571.41
"July 19, 2008",45,0.458,60108111.44,0.416,54596013.89,0.126,16536292.67
"July 20, 2008",46,0.459,60239351.86,0.414,54333533.05,0.127,16667533.09
"July 21, 2008",47,0.46,60370592.28,0.413,54202292.63,0.127,16667533.09
"July 22, 2008",48,0.458,60108111.44,0.415,54464773.47,0.127,16667533.09
"July 23, 2008",49,0.461,60501832.7,0.413,54202292.63,0.126,16536292.67
"July 24, 2008",50,0.46,60370592.28,0.42,55120975.56,0.12,15748850.16
"July 25, 2008",51,0.464,60895553.95,0.416,54596013.89,0.12,15748850.16
"July 26, 2008",52,0.465,61026794.37,0.417,54727254.31,0.118,15486369.32
"July 27, 2008",53,0.467,61289275.21,0.417,54727254.31,0.116,15223888.49
"July 28, 2008",54,0.465,61026794.37,0.433,56827100.99,0.102,13386522.64
"July 29, 2008",55,0.462,60633073.12,0.437,57352062.67,0.101,13255282.22
"July 30, 2008",56,0.469,61551756.04,0.439,57614543.5,0.092,12074118.46
"July 31, 2008",57,0.468,61420515.62,0.439,57614543.5,0.093,12205358.87
