Date,Day,ObamaPolling,ObamaPeople,ClintonPolling,ClintonPeople,EdwardsPolling,EdwardsPeople,Richardson Polling,RichardsonPeople,BidenPolling,BidenPeople,SusceptiblePolling,SusceptiblePeople
January 1,0,0.25,13533767.5,0.442,23927700.94,0.143,7741315.01,0.022,1190971.54,0.03,1624052.1,0.113,6117262.91
January 2,1,0.238,12884146.66,0.451,24414916.57,0.136,7362369.52,0.02,1082701.4,0.03,1624052.1,0.125,6766883.75
January 3,2,0.24,12992416.8,0.452,24469051.64,0.138,7470639.66,0.02,1082701.4,0.03,1624052.1,0.12,6496208.4
January 4,3,0.244,13208957.08,0.446,24144241.22,0.14,7578909.8,0.02,1082701.4,0.03,1624052.1,0.12,6496208.4
January 5,4,0.242,13100686.94,0.446,24144241.22,0.144,7795450.08,0,0,0,0,0.168,9094691.76
January 6,5,0.242,13100686.94,0.442,23927700.94,0.15,8120260.5,0,0,0,0,0.166,8986421.62
January 7,6,0.293,15861575.51,0.373,20192381.11,0.18,9744312.6,0,0,0,0,0.154,8336800.78
January 8,7,0.293,15861575.51,0.37,20029975.9,0.18,9744312.6,0,0,0,0,0.157,8499205.99
January 9,8,0.3,16240521,0.37,20029975.9,0.177,9581907.39,0,0,0,0,0.153,8282665.71
January 10,9,0.307,16619466.49,0.377,20408921.39,0.163,8824016.41,0,0,0,0,0.153,8282665.71
January 11,10,0.34,18405923.8,0.39,21112677.3,0.157,8499205.99,0,0,0,0,0.113,6117262.91
January 12,11,0.347,18784869.29,0.403,21816433.21,0.153,8282665.71,0,0,0,0,0.097,5251101.79
January 13,12,0.338,18297653.66,0.412,22303648.84,0.132,7145829.24,0,0,0,0,0.118,6387938.26
January 14,13,0.334,18081113.38,0.432,23386350.24,0.12,6496208.4,0,0,0,0,0.114,6171397.98
January 15,14,0.326,17648032.82,0.43,23278080.1,0.124,6712748.68,0,0,0,0,0.12,6496208.4
January 16,15,0.333,18026978.31,0.423,22899134.61,0.123,6658613.61,0,0,0,0,0.121,6550343.47
January 17,16,0.334,18081113.38,0.423,22899134.61,0.123,6658613.61,0,0,0,0,0.12,6496208.4
