Date,Day,ObamaPolling,ObamaPeople,McCainPolling,McCainPeople,SusceptiblePolling,SusceptiblePeople
"June 4, 2008",0,0.467,61.28927521,0.445,58.40198601,0.088,11.54915678
"June 5, 2008",1,0.467,61.28927521,0.445,58.40198601,0.088,11.54915678
"June 6, 2008",2,0.469,61.55175604,0.441,57.87702434,0.09,11.81163762
"June 7, 2008",3,0.469,61.55175604,0.444,58.27074559,0.087,11.41791637
"June 8, 2008",4,0.469,61.55175604,0.444,58.27074559,0.087,11.41791637
"June 9, 2008",5,0.477,62.60167939,0.435,57.08958183,0.088,11.54915678
"June 10, 2008",6,0.47,61.68299646,0.427,56.03965849,0.103,13.51776305
"June 11, 2008",7,0.472,61.9454773,0.426,55.90841807,0.102,13.38652264
"June 12, 2008",8,0.468,61.42051562,0.425,55.77717765,0.107,14.04272473
"June 13, 2008",9,0.463,60.76431353,0.427,56.03965849,0.11,14.43644598
"June 14, 2008",10,0.462,60.63307312,0.423,55.51469681,0.115,15.09264807
"June 15, 2008",11,0.46,60.37059228,0.423,55.51469681,0.117,15.35512891
"June 16, 2008",12,0.459,60.23935186,0.421,55.25221598,0.12,15.74885016
"June 17, 2008",13,0.463,60.76431353,0.423,55.51469681,0.114,14.96140765
"June 18, 2008",14,0.47,61.68299646,0.428,56.1708989,0.102,13.38652264
"June 19, 2008",15,0.467,61.28927521,0.425,55.77717765,0.108,14.17396514
"June 20, 2008",16,0.475,62.33919855,0.42,55.12097556,0.105,13.78024389
"June 21, 2008",17,0.475,62.33919855,0.419,54.98973514,0.106,13.91148431
"June 22, 2008",18,0.482,63.25788148,0.414,54.33353305,0.104,13.64900347
"June 23, 2008",19,0.482,63.25788148,0.414,54.33353305,0.104,13.64900347
"June 24, 2008",20,0.483,63.38912189,0.408,53.54609054,0.109,14.30520556
"June 25, 2008",21,0.482,63.25788148,0.413,54.20229263,0.105,13.78024389
"June 26, 2008",22,0.471,61.81423688,0.404,53.02112887,0.125,16.40505225
"June 27, 2008",23,0.471,61.81423688,0.408,53.54609054,0.121,15.88009058
"June 28, 2008",24,0.471,61.81423688,0.406,53.28360971,0.123,16.14257141
"June 29, 2008",25,0.474,62.20795813,0.403,52.88988845,0.123,16.14257141
"June 30, 2008",26,0.477,62.60167939,0.409,53.67733096,0.114,14.96140765
"July 1, 2008",27,0.476,62.47043897,0.417,54.72725431,0.107,14.04272473
"July 2, 2008",28,0.474,62.20795813,0.42,55.12097556,0.106,13.91148431
"July 3, 2008",29,0.476,62.47043897,0.419,54.98973514,0.105,13.78024389
"July 4, 2008",30,0.476,62.47043897,0.419,54.98973514,0.105,13.78024389
"July 5, 2008",31,0.485,63.65160273,0.428,56.1708989,0.087,11.41791637
"July 6, 2008",32,0.487,63.91408357,0.427,56.03965849,0.086,11.28667595
"July 7, 2008",33,0.485,63.65160273,0.428,56.1708989,0.087,11.41791637
"July 8, 2008",34,0.483,63.38912189,0.428,56.1708989,0.089,11.6803972
"July 9, 2008",35,0.482,63.25788148,0.43,56.43337974,0.088,11.54915678
"July 10, 2008",36,0.481,63.12664106,0.426,55.90841807,0.093,12.20535887
"July 11, 2008",37,0.47,61.68299646,0.422,55.3834564,0.108,14.17396514
"July 12, 2008",38,0.468,61.42051562,0.426,55.90841807,0.106,13.91148431
"July 13, 2008",39,0.464,60.89555395,0.426,55.90841807,0.11,14.43644598
"July 14, 2008",40,0.466,61.15803479,0.426,55.90841807,0.108,14.17396514
"July 15, 2008",41,0.47,61.68299646,0.425,55.77717765,0.105,13.78024389
"July 16, 2008",42,0.471,61.81423688,0.423,55.51469681,0.106,13.91148431
"July 17, 2008",43,0.459,60.23935186,0.418,54.85849472,0.123,16.14257141
"July 18, 2008",44,0.459,60.23935186,0.418,54.85849472,0.123,16.14257141
"July 19, 2008",45,0.458,60.10811144,0.416,54.59601389,0.126,16.53629267
"July 20, 2008",46,0.459,60.23935186,0.414,54.33353305,0.127,16.66753309
"July 21, 2008",47,0.46,60.37059228,0.413,54.20229263,0.127,16.66753309
"July 22, 2008",48,0.458,60.10811144,0.415,54.46477347,0.127,16.66753309
"July 23, 2008",49,0.461,60.5018327,0.413,54.20229263,0.126,16.53629267
"July 24, 2008",50,0.46,60.37059228,0.42,55.12097556,0.12,15.74885016
"July 25, 2008",51,0.464,60.89555395,0.416,54.59601389,0.12,15.74885016
"July 26, 2008",52,0.465,61.02679437,0.417,54.72725431,0.118,15.48636932
"July 27, 2008",53,0.467,61.28927521,0.417,54.72725431,0.116,15.22388849
"July 28, 2008",54,0.465,61.02679437,0.433,56.82710099,0.102,13.38652264
"July 29, 2008",55,0.462,60.63307312,0.437,57.35206267,0.101,13.25528222
"July 30, 2008",56,0.469,61.55175604,0.439,57.6145435,0.092,12.07411846
"July 31, 2008",57,0.468,61.42051562,0.439,57.6145435,0.093,12.20535887
